id,user_id,order_date,status
1,1,2018-01-01,returned
2,2,2018-01-02,completed
3,3,2018-01-04,completed
4,4,2018-01-04,completed
5,5,2018-01-05,completed
6,6,2018-01-05,completed
7,7,2018-01-06,completed
8,8,2018-01-07,completed
9,9,2018-01-08,return_pending
10,10,2018-01-09,completed
11,1,2018-01-11,completed
12,1,2018-01-12,completed
13,1,2018-01-13,completed
14,1,2018-01-14,completed
15,2,2018-01-15,completed
16,2,2018-01-16,completed
17,2,2018-01-17,completed
18,3,2018-01-18,completed
19,3,2018-01-19,completed
20,4,2018-01-20,completed
